movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
11827,Heavy Metal,20100000,9300000,90,20100000,R,"Canadian Film Development Corporation, Columbia Pictures, Guardian Trust Company, Famous Players, Potterton Productions, TVC London, Halas and Batchelor Cartoon Films, Atkinson Film Arts, Boxcar Animation Studios","Animation, Science Fiction, Adventure, Fantasy, Music",tt0082509,1981,08,07
5174,Rush Hour 3,258097122,140000000,91,258097122,R,"New Line Cinema, Roger Birnbaum Productions, Arthur Sarkissian Productions, Unlike Film Productions","Action, Comedy, Crime",tt0293564,2007,08,08
266285,The Salvation,1363964,10500000,92,1363964,R,"Spier Films, Forward Films, TrustNordisk, Zentropa Entertainments, F.I.L.M.S., Det Danske Filminstitut, DR, Nordisk Film & TV Fond, Film i Väst, The Department of Trade and Industry of South Africa, MEDIA Programme of the European Union","Drama, Western",tt2720680,2014,05,22
36593,Naked Gun 33⅓: The Final Insult,132032598,30000000,83,132032598,R,Paramount Pictures,"Comedy, Crime",tt0110622,1994,03,18
7516,Smokin' Aces,57103895,17000000,109,57103895,R,"Universal Pictures, Working Title Films, StudioCanal, Relativity Media, Scion Films","Action, Comedy, Crime, Thriller",tt0475394,2006,12,09
654028,The Christmas Chronicles: Part Two,0,0,112,0,R,1492 Pictures,"Family, Fantasy, Adventure, Comedy",tt11057644,2020,11,18
38842,Middle Men,0,22000000,105,0,R,"Paramount Pictures, Mallick Media, Oxymoron Entertainment, Middle Pictures","Drama, Comedy, Crime",tt1251757,2009,05,17
20526,TRON: Legacy,400062763,170000000,125,400062763,R,"Walt Disney Pictures, Sean Bailey Productions","Adventure, Action, Science Fiction",tt1104001,2010,12,14
1907,The Beach,144100000,40000000,119,144100000,R,"Figment Films, 20th Century Fox","Drama, Adventure, Romance, Thriller",tt0163978,2000,02,03
8279,Paris,23550000,19000000,130,23550000,R,"Ce Qui Me Meut Motion Pictures, France 2 Cinéma, TPS Star, StudioCanal Image, Uni Etoile 4, Canal+, StudioCanal",Drama,tt0869994,2008,02,20
13027,Eagle Eye,178800000,80000000,118,178800000,R,"KMP Film Invest, K/O Paper Products, DreamWorks Pictures, Goldcrest","Mystery, Thriller, Action",tt1059786,2008,09,25
10279,Summer of Sam,19288130,22000000,142,19288130,R,"40 Acres and a Mule Filmworks, Touchstone Pictures","Thriller, Drama, Crime",tt0162677,1999,06,28
9843,Big Nothing,0,0,86,0,R,Pathé,"Action, Comedy, Crime, Thriller",tt0488085,2006,12,01
8012,Get Shorty,115101622,30250000,105,115101622,R,"Metro-Goldwyn-Mayer, Jersey Films","Comedy, Thriller, Crime",tt0113161,1995,10,20
252838,The Wedding Ringer,79799880,23000000,101,79799880,R,"Screen Gems, LStar Capital, Miramax, Will Packer Productions",Comedy,tt0884732,2015,01,16
22972,Green Zone,94882889,100000000,115,94882889,R,"Universal Pictures, StudioCanal, Relativity Media, Working Title Films, dentsu, Atresmedia, KanZaman Productions","War, Action, Adventure, Drama, Thriller",tt0947810,2010,03,11
16617,Mindhunters,21100000,27000000,106,21100000,R,"Outlaw Productions, Outlaw Victoria Productions Inc., Avenue Pictures, Weed Road Pictures, Intermedia, Egmond Film & Television, Dimension Films, Mindhunters (UK) Limited, Mindhunters Productie BV, Tonna Oy","Mystery, Thriller, Crime",tt0297284,2004,05,07
9691,Assassins,30303072,50000000,132,30303072,R,"Dino De Laurentiis Company, Silver Pictures, Evansgideon/Lazar, Warner Bros. Pictures, Canal+, Donner/Shuler-Donner Productions","Action, Adventure, Crime, Thriller",tt0112401,1995,10,06
603119,The Silencing,0,0,93,0,R,"Anova Pictures, Silencing Canada Productions, Wildling Pictures, Madrona Drive","Thriller, Action, Crime",tt7149730,2020,07,18
9353,Nacho Libre,99300000,35000000,92,99300000,R,"Paramount Pictures, Nickelodeon Movies, Black & White Productions, MP Inka","Comedy, Family, Drama",tt0457510,2006,06,16
460793,Olaf's Frozen Adventure,0,0,22,0,R,Walt Disney Pictures,"Animation, Family, Adventure, Comedy, Fantasy",tt5452780,2017,10,27
333385,Mr. Right,34694,8000000,95,34694,R,"Circle of Confusion, 3311 Productions, Amasia Entertainment","Comedy, Action, Romance, Crime",tt2091935,2016,02,29
225728,Macbeth,16322067,15000000,113,16322067,R,"Anton Capital Entertainment, See-Saw Films, Creative Scotland, DMC Film, Film4 Productions, StudioCanal","Drama, War",tt2884018,2015,09,22
34016,She's Out of My League,49800000,20000000,104,49800000,R,"Paramount Pictures, DreamWorks Pictures, Mosaic Media Group","Romance, Comedy",tt0815236,2010,03,11
9032,Big Daddy,234801895,34200000,93,234801895,R,"Columbia Pictures, Out of the Blue... Entertainment, Jack Giarraputo Productions","Comedy, Drama",tt0142342,1999,06,25
1096197,No Way Up,0,0,90,0,R,"Altitude Film Entertainment, Ingenious Media, Hyprr Films, Sarma Films, Dimension Studio","Thriller, Horror, Action",tt16253418,2024,01,18
59961,Safe House,208076205,85000000,115,208076205,R,"Universal Pictures, Relativity Media, Bluegrass Films, dentsu","Action, Thriller",tt1599348,2012,02,08
2133,The Perfect Storm,325800000,130000000,130,325800000,R,"Baltimore/Spring Creek Pictures, Radiant Productions, Warner Bros. Pictures","Action, Adventure, Drama, Thriller",tt0177971,2000,06,29
852096,We Have a Ghost,0,0,127,0,R,Temple Hill Entertainment,"Comedy, Fantasy, Family, Adventure, Horror",tt7798604,2023,02,24
324852,Despicable Me 3,1034800131,80000000,90,1034800131,R,"Illumination, Universal Pictures","Action, Animation, Comedy, Family, Adventure",tt3469046,2017,06,15
