IMDb_code,movie_code,year_review,month_review,day_review,rating_of_movie,ave_review_len,review_count,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating
tt2737304,405774,2019,01,21,5.0,263.0,1,Bird Box,0,19800000,124,0,R
tt2737304,405774,2020,07,28,6.0,249.0,1,Bird Box,0,19800000,124,0,R
tt27487473,984324,2024,04,08,5.0,168.0,1,The Wages of Fear,0,0,107,0,R
tt27489557,1111873,2024,04,25,7.0,244.0,1,Abigail,42241257,28000000,109,42241257,R
tt27489557,1111873,2024,05,10,6.0,190.0,1,Abigail,42241257,28000000,109,42241257,R
tt27489557,1111873,2024,05,16,10.0,436.0,1,Abigail,42241257,28000000,109,42241257,R
tt27489557,1111873,2024,07,09,6.0,262.0,1,Abigail,42241257,28000000,109,42241257,R
tt27489557,1111873,2024,07,15,7.0,39.0,1,Abigail,42241257,28000000,109,42241257,R
tt27489557,1111873,2024,07,17,7.0,478.0,1,Abigail,42241257,28000000,109,42241257,R
tt27503384,976893,2024,03,04,10.0,206.0,1,Perfect Days,24094016,14000000,124,24094016,R
tt27503384,976893,2024,03,06,7.0,295.0,1,Perfect Days,24094016,14000000,124,24094016,R
tt27503384,976893,2024,03,19,4.0,473.0,1,Perfect Days,24094016,14000000,124,24094016,R
tt27503384,976893,2024,03,25,8.0,315.0,1,Perfect Days,24094016,14000000,124,24094016,R
tt2752772,283445,2016,07,14,4.0,259.0,1,Sinister 2,53329150,10000000,97,53329150,R
tt2752772,283445,2017,03,09,3.0,157.0,1,Sinister 2,53329150,10000000,97,53329150,R
tt2756032,242090,2016,06,14,7.0,291.0,1,The One I Love,513447,0,92,513447,R
tt2762506,446159,2019,09,23,9.0,36.0,1,Bacurau,3554178,1430000,131,3554178,R
tt2762506,446159,2022,08,26,1.0,481.0,1,Bacurau,3554178,1430000,131,3554178,R
tt2762970,245473,2017,07,13,6.0,204.0,1,Cloud 9,0,0,90,0,R
tt2763304,180863,2017,09,04,5.0,270.0,1,T2 Trainspotting,42100000,18000000,117,42100000,R
tt2763304,180863,2023,01,14,10.0,265.0,1,T2 Trainspotting,42100000,18000000,117,42100000,R
tt2763304,180863,2024,05,31,9.0,192.0,1,T2 Trainspotting,42100000,18000000,117,42100000,R
tt2771200,321612,2017,03,20,6.0,195.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2017,04,04,6.0,38.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2017,06,15,8.0,298.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2018,01,06,7.0,118.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2022,08,19,7.0,110.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2023,04,26,6.0,41.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2771200,321612,2024,07,20,6.0,208.0,1,Beauty and the Beast,1266115964,160000000,129,1266115964,R
tt2784512,254474,2015,06,19,6.0,209.0,1,Zombeavers,14947,0,85,14947,R
tt2784512,254474,2017,02,06,6.0,26.0,1,Zombeavers,14947,0,85,14947,R
tt2784678,284296,2016,09,09,7.0,299.0,1,Top Five,25434291,0,102,25434291,R
tt2785032,276844,2015,03,29,9.0,444.0,1,The Little Death,0,0,96,0,R
tt2788732,294272,2016,12,04,6.0,298.0,1,Pete's Dragon,143695338,65000000,103,143695338,R
tt2788732,294272,2017,02,21,6.0,50.0,1,Pete's Dragon,143695338,65000000,103,143695338,R
tt2788732,294272,2020,11,17,8.0,151.0,1,Pete's Dragon,143695338,65000000,103,143695338,R
tt2788732,294272,2022,09,05,7.0,240.0,1,Pete's Dragon,143695338,65000000,103,143695338,R
tt2798920,300668,2018,02,23,6.0,31.0,1,Annihilation,43070915,40000000,115,43070915,R
tt2798920,300668,2018,03,19,8.0,175.0,1,Annihilation,43070915,40000000,115,43070915,R
tt2798920,300668,2018,06,15,6.0,196.0,1,Annihilation,43070915,40000000,115,43070915,R
tt2798920,300668,2020,10,28,8.0,56.0,1,Annihilation,43070915,40000000,115,43070915,R
tt2798920,300668,2022,07,01,8.0,174.0,1,Annihilation,43070915,40000000,115,43070915,R
tt2799166,282813,2017,02,06,1.0,71.0,1,The Pyramid,16861137,6500000,89,16861137,R
tt2799166,282813,2017,05,20,8.0,159.0,1,The Pyramid,16861137,6500000,89,16861137,R
tt2799166,282813,2022,04,15,3.0,198.0,1,The Pyramid,16861137,6500000,89,16861137,R
tt2799166,282813,2024,01,30,4.0,55.0,1,The Pyramid,16861137,6500000,89,16861137,R
tt2802136,276839,2015,10,04,6.0,188.0,1,Home Sweet Hell,0,3000000,98,0,R
tt2802136,276839,2020,08,24,7.0,166.0,1,Home Sweet Hell,0,3000000,98,0,R
tt2802144,207703,2015,05,28,7.0,54.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt2802144,207703,2017,03,09,5.0,264.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt2802144,207703,2018,04,28,9.0,337.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt2802144,207703,2022,10,21,8.0,104.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt2802144,207703,2023,01,02,7.0,316.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt2802144,207703,2024,03,16,8.0,484.0,1,Kingsman: The Secret Service,414351546,81000000,129,414351546,R
tt28066777,1139829,2024,01,30,4.0,89.0,1,Orion and the Dark,0,0,90,0,R
tt28066777,1139829,2024,02,05,7.0,84.0,1,Orion and the Dark,0,0,90,0,R
tt2820852,168259,2015,08,23,9.0,428.0,1,Furious 7,1515400000,190000000,137,1515400000,R
tt2823054,316023,2016,10,24,6.0,220.0,1,Mike and Dave Need Wedding Dates,77100000,33000000,98,77100000,R
tt2823054,316023,2020,07,14,7.0,224.0,1,Mike and Dave Need Wedding Dates,77100000,33000000,98,77100000,R
tt28236368,1110358,2024,05,16,7.0,209.0,1,Yannick,3500000,0,67,3500000,R
tt2828996,184345,2021,06,19,7.0,107.0,1,A Haunted House 2,25343661,4000000,87,25343661,R
tt2832470,241842,2018,03,06,2.0,300.0,1,Dead Snow 2: Red vs. Dead,37473,0,100,37473,R
tt2837574,429203,2019,07,04,7.0,2773.0,1,The Old Man & the Gun,11277120,15800000,94,11277120,R
tt2837574,429203,2023,01,12,10.0,185.0,1,The Old Man & the Gun,11277120,15800000,94,11277120,R
tt2844798,267999,2015,09,02,8.0,735.0,1,White God,616277,2200000,121,616277,R
tt2848292,254470,2017,02,16,6.0,21.0,1,Pitch Perfect 2,287144079,29000000,115,287144079,R
tt2848292,254470,2017,03,09,4.0,44.0,1,Pitch Perfect 2,287144079,29000000,115,287144079,R
tt2848292,254470,2021,03,11,6.0,132.0,1,Pitch Perfect 2,287144079,29000000,115,287144079,R
tt2848292,254470,2023,07,27,6.0,41.0,1,Pitch Perfect 2,287144079,29000000,115,287144079,R
tt2850386,529203,2020,12,10,6.0,56.0,1,The Croods: A New Age,215905815,65000000,95,215905815,R
tt2850386,529203,2024,01,02,7.0,210.0,1,The Croods: A New Age,215905815,65000000,95,215905815,R
tt2852458,186992,2018,05,14,7.0,36.0,1,Stranger by the Lake,0,0,97,0,R
tt2852458,186992,2023,05,21,6.0,111.0,1,Stranger by the Lake,0,0,97,0,R
tt2854926,455980,2019,01,22,7.0,105.0,1,Tag,75100000,28000000,100,75100000,R
tt2854926,455980,2023,01,13,10.0,234.0,1,Tag,75100000,28000000,100,75100000,R
tt2865120,234004,2016,10,04,5.0,297.0,1,Ratchet & Clank,8800000,20000000,94,8800000,R
tt2866360,220289,2020,11,04,7.0,116.0,1,Coherence,139745,50000,89,139745,R
tt2866360,220289,2022,08,19,7.0,128.0,1,Coherence,139745,50000,89,139745,R
